# Discriminator Loss, Generator Loss
7.944904565811157227e-01,1.648316955566406250e+01
6.268957853317260742e-01,1.858093452453613281e+01
6.164019107818603516e-01,1.778817367553710938e+01
6.204023361206054688e-01,1.905591773986816406e+01
6.735048890113830566e-01,1.905628585815429688e+01
8.018437623977661133e-01,1.783972549438476562e+01
8.004112243652343750e-01,1.951870155334472656e+01
9.133164882659912109e-01,1.838385391235351562e+01
1.005936741828918457e+00,1.891907119750976562e+01
1.213577985763549805e+00,2.017047882080078125e+01
1.328320980072021484e+00,1.999898910522460938e+01
1.424765348434448242e+00,1.738335800170898438e+01
1.361360192298889160e+00,1.726325035095214844e+01
1.338065147399902344e+00,1.671295928955078125e+01
1.139874458312988281e+00,1.510173606872558594e+01
1.073366522789001465e+00,1.506522369384765625e+01
9.783470034599304199e-01,1.540188503265380859e+01
1.310524940490722656e+00,1.271786689758300781e+01
1.905773758888244629e+00,1.188012886047363281e+01
2.248826980590820312e+00,1.113006877899169922e+01
2.221046447753906250e+00,1.155966854095458984e+01
1.935397744178771973e+00,1.282297897338867188e+01
1.408406734466552734e+00,1.363817501068115234e+01
1.296091079711914062e+00,1.471553230285644531e+01
1.309514760971069336e+00,1.508959197998046875e+01
1.346813917160034180e+00,1.447268772125244141e+01
1.204112172126770020e+00,1.410804939270019531e+01
1.102194070816040039e+00,1.597875785827636719e+01
9.891940355300903320e-01,1.375589752197265625e+01
9.195170998573303223e-01,1.407662010192871094e+01
8.773559331893920898e-01,1.443323707580566406e+01
8.656431436538696289e-01,1.504882621765136719e+01
8.272058963775634766e-01,1.342700004577636719e+01
1.005478501319885254e+00,1.322695636749267578e+01
1.257684946060180664e+00,1.236532306671142578e+01
1.321255445480346680e+00,1.195389270782470703e+01
1.390012025833129883e+00,1.177489280700683594e+01
1.720567584037780762e+00,1.109172534942626953e+01
1.865578889846801758e+00,1.162658500671386719e+01
2.341795444488525391e+00,1.132338905334472656e+01
2.500199794769287109e+00,1.220004081726074219e+01
1.975414633750915527e+00,1.066309738159179688e+01
1.807830095291137695e+00,1.254958724975585938e+01
1.514093875885009766e+00,1.207540893554687500e+01
1.658600807189941406e+00,1.370117568969726562e+01
1.327988624572753906e+00,1.557273483276367188e+01
1.147118330001831055e+00,1.714310455322265625e+01
9.317991733551025391e-01,1.482702064514160156e+01
8.841298818588256836e-01,1.713386154174804688e+01
8.098942041397094727e-01,1.865542030334472656e+01
7.324094772338867188e-01,1.479142665863037109e+01
6.611887216567993164e-01,1.959207916259765625e+01
7.390758991241455078e-01,1.530047798156738281e+01
7.979062795639038086e-01,2.013707160949707031e+01
9.964286088943481445e-01,1.567292785644531250e+01
8.901855945587158203e-01,1.771818733215332031e+01
9.888839125633239746e-01,1.614960479736328125e+01
9.859628677368164062e-01,1.608737373352050781e+01
1.081051349639892578e+00,1.566894912719726562e+01
1.006758213043212891e+00,1.512326431274414062e+01
1.004861593246459961e+00,1.671394729614257812e+01
1.037760138511657715e+00,1.363256454467773438e+01
9.660274982452392578e-01,1.541592884063720703e+01
1.030945420265197754e+00,1.522763633728027344e+01
1.130322813987731934e+00,1.297396278381347656e+01
1.179602265357971191e+00,1.360908222198486328e+01
1.144062995910644531e+00,1.427805233001708984e+01
1.224466562271118164e+00,1.298158454895019531e+01
1.324031829833984375e+00,1.355379104614257812e+01
1.368344664573669434e+00,1.421431732177734375e+01
1.412030696868896484e+00,1.346106529235839844e+01
1.462482213973999023e+00,1.403744697570800781e+01
1.516833066940307617e+00,1.358108043670654297e+01
1.723546504974365234e+00,1.350045013427734375e+01
1.814795732498168945e+00,1.341109752655029297e+01
1.867312192916870117e+00,1.328428077697753906e+01
1.895615458488464355e+00,1.351101398468017578e+01
1.949959039688110352e+00,1.302623462677001953e+01
1.839108824729919434e+00,1.274733734130859375e+01
1.614151000976562500e+00,1.266452217102050781e+01
1.445783853530883789e+00,1.368933773040771484e+01
1.224588394165039062e+00,1.394845294952392578e+01
1.259378194808959961e+00,1.399086380004882812e+01
1.122466802597045898e+00,1.489671516418457031e+01
1.276594758033752441e+00,1.523816204071044922e+01
1.239942789077758789e+00,1.322846031188964844e+01
1.172713637351989746e+00,1.484041881561279297e+01
1.146740674972534180e+00,1.459494018554687500e+01
1.235141277313232422e+00,1.349459075927734375e+01
1.300756216049194336e+00,1.330128669738769531e+01
1.321990966796875000e+00,1.506555843353271484e+01
1.230876207351684570e+00,1.404575729370117188e+01
1.141073584556579590e+00,1.427106761932373047e+01
1.158322811126708984e+00,1.450745105743408203e+01
1.124495625495910645e+00,1.555650424957275391e+01
1.092980861663818359e+00,1.571264076232910156e+01
1.021578907966613770e+00,1.487427902221679688e+01
1.032775759696960449e+00,1.566272926330566406e+01
1.022473454475402832e+00,1.698455810546875000e+01
1.203381657600402832e+00,1.333118057250976562e+01
1.465814232826232910e+00,1.338821411132812500e+01
1.488607406616210938e+00,1.496533966064453125e+01
1.554187059402465820e+00,1.360402297973632812e+01
